dataset_name	study_condition	median_mpa2	median_mpa3	perc_inc
FengQ_2015	Control	97	131	35.1
FengQ_2015	CRC	117	163	39.3
GuptaA_2019	Control	37.5	53	41.3
GuptaA_2019	CRC	53	75.5	42.5
ThomasAM_2019_a	Control	75	98	30.7
ThomasAM_2019_a	CRC	72	95	31.9
ThomasAM_2019_b	Control	93	128	37.6
ThomasAM_2019_b	CRC	110.5	148.5	34.4
VogtmannE_2016	Control	99	134	35.4
VogtmannE_2016	CRC	107	147	37.4
WirbelJ_2018	Control	81	115	42
WirbelJ_2018	CRC	92	129	40.2
YachidaS_2019	Control	82	104	26.8
YachidaS_2019	CRC	92	117.5	27.7
YuJ_2015	Control	98	131	33.7
YuJ_2015	CRC	112	149.5	33.5
ZellerG_2014	Control	98	141	43.9
ZellerG_2014	CRC	96	142	47.9
